"","year","list","name","last_name","net_worth_change.millions","age","source","industry","gender","country","timestamp","net_worth.realtime.millions","real_time.rank","real_time.position","squareImage","headquarters","state","title.company","position","rank","net_worth.millions","is.government","url.bio.forbes","url.image"
"715",2001,"Billionaires","Chin Jong Hwa","Chin",68.581,59,"auto parts","Automotive","M","Taiwan",2018-02-13 23:10:01,2635.126,904,904,"//specials-images.forbesimg.com/imageserve/616b2ced58bbf2fb6c4460422d7af827/416x416.jpg?background=000000&cropX1=114&cropX2=660&cropY1=71&cropY2=617",NA,NA,NA,NA,NA,NA,FALSE,"http://www.forbes.com/profile/chin-jong-hwa","http://i.forbesimg.com/media/lists/people/chin-jong-hwa_200x200.jpg"
"716",2001,"Billionaires","Chip Wilson","Wilson",9.451,61,"Lululemon","Fashion & Retail","M","Canada",2018-02-13 23:10:01,2573.931,932,932,"//specials-images.forbesimg.com/imageserve/589cc82fa7ea431f3219241c/416x416.jpg?background=000000&cropX1=116&cropX2=667&cropY1=48&cropY2=599",NA,"British Columbia","Chairman, Lululemon",NA,NA,NA,FALSE,"http://www.forbes.com/profile/chip-wilson","http://i.forbesimg.com/media/lists/people/chip-wilson_200x200.jpg"
"717",2001,"Billionaires","Chirathivat family","Chirathivat family",-110.332,NA,"retail","Fashion & Retail",NA,"Thailand",2018-02-13 23:10:01,20515.882,51,51,"http://specials-images.forbesimg.com/imageserve/5835bbfd31358e698ada8695/416x416.jpg?background=000000&cropX1=122&cropX2=568&cropY1=8&cropY2=454",NA,NA,NA,NA,NA,NA,FALSE,"http://www.forbes.com/profile/chirathivat-family","http://i.forbesimg.com/media/lists/people/chirathivat-family_200x200.jpg"
"718",2001,"Billionaires","Chirayu Amin","Amin",-0.001,71,"pharmaceuticals","Healthcare","M","India",2018-02-13 23:10:01,1149.049,1871,1871,"//specials-images.forbesimg.com/imageserve/58a1f98b31358e1a35ab46dd/416x416.jpg?background=000000&cropX1=53&cropX2=686&cropY1=100&cropY2=733",NA,NA,NA,NA,NA,NA,FALSE,"http://www.forbes.com/profile/chirayu-amin","http://i.forbesimg.com/media/lists/people/chirayu-amin_200x200.jpg"
"719",2001,"Billionaires","Cho Jung-Ho","Cho",12.427,59,"finance","Finance and Investments","M","South Korea",2018-02-13 23:10:01,1601.805,1461,1461,"http://specials-images.forbesimg.com/imageserve/571a75804bbe6f6f9574db1b/416x416.jpg?background=000000&cropX1=111&cropX2=599&cropY1=27&cropY2=515",NA,NA,"Meritz Financial Group",NA,NA,NA,FALSE,"http://www.forbes.com/profile/cho-jung-ho","http://i.forbesimg.com/media/lists/people/cho-jung-ho_200x200.jpg"
"720",2001,"Billionaires","Cho Tak Wong","Cho",42.418,71,"auto parts","Manufacturing","M","Hong Kong",2018-02-13 23:10:01,2536.139,949,949,"//specials-images.forbesimg.com/imageserve/58c8650c31358e1a35ad018d/416x416.jpg?background=000000&cropX1=118&cropX2=612&cropY1=158&cropY2=653",NA,"Fujian",NA,NA,NA,NA,FALSE,"http://www.forbes.com/profile/cho-tak-wong","http://i.forbesimg.com/media/lists/people/cho-tak-wong_200x200.jpg"
"721",2001,"Billionaires","Cho Yang-Rai","Cho",8.486,80,"tire manufacturing","Manufacturing","M","South Korea",2018-02-13 23:10:01,1025.073,1961,1961,"//specials-images.forbesimg.com/imageserve/571a76ac4bbe6f6f9574db20/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=61&cropY2=805",NA,NA,"Hankook Tire",NA,NA,NA,FALSE,"http://www.forbes.com/profile/cho-yang-rai","http://i.forbesimg.com/media/lists/people/cho-yang-rai_200x200.jpg"
"722",2001,"Billionaires","Choo Chong Ngen","Choo",0,64,"hotels","Real Estate","M","Singapore",2018-02-13 23:10:01,2089.76,1165,1165,"http://specials-images.forbesimg.com/imageserve/5797e8da31358e154fddfdf1/416x416.jpg?background=000000&cropX1=205&cropX2=550&cropY1=329&cropY2=674",NA,NA,NA,NA,NA,NA,FALSE,"http://www.forbes.com/profile/choo-chong-ngen","http://i.forbesimg.com/media/lists/people/choo-chong-ngen_200x200.jpg"
"723",2001,"Billionaires","Chris Sacca","Sacca",9.129,42,"venture capital investing","Finance and Investments","M","United States",2018-02-13 23:10:01,1155.733,1862,1862,"//specials-images.forbesimg.com/imageserve/58c075e731358e1a35aca9dd/416x416.jpg?background=000000&cropX1=79&cropX2=686&cropY1=11&cropY2=619","CA","California","Founder and Partner, Lowercase Capital",NA,NA,NA,FALSE,"http://www.forbes.com/profile/chris-sacca","http://i.forbesimg.com/media/lists/people/chris-sacca_200x200.jpg"
"724",2001,"Billionaires","Christian Latouche","Latouche",0,77,"accounting services","Finance and Investments","M","France",2018-02-13 23:10:01,2100,1156,1156,"//specials-images.forbesimg.com/imageserve/58a11e404bbe6f0e55869fba/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=85&cropY2=829",NA,NA,NA,NA,NA,NA,FALSE,"http://www.forbes.com/profile/christian-latouche","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
